"datetime","date","ph-i-subdaily","epoch"
"2022-01-05 09:32:11","2022-01-05",8.03,1641375131000
"2022-01-05 09:47:11","2022-01-05",8.02,1641376031000
"2022-01-05 10:02:11","2022-01-05",8.02,1641376931000
"2022-01-05 10:17:11","2022-01-05",8.0,1641377831000
"2022-01-05 10:32:11","2022-01-05",8.02,1641378731000
"2022-01-05 10:47:13","2022-01-05",8.03,1641379633000
"2022-01-05 11:02:11","2022-01-05",8.03,1641380531000
"2022-01-05 11:17:11","2022-01-05",8.02,1641381431000
"2022-01-05 11:32:11","2022-01-05",8.0,1641382331000
"2022-01-05 11:47:13","2022-01-05",8.01,1641383233000
"2022-01-05 12:02:12","2022-01-05",8.02,1641384132000
"2022-01-05 12:17:11","2022-01-05",8.0,1641385031000
"2022-01-05 12:32:12","2022-01-05",7.99,1641385932000
"2022-01-05 12:47:11","2022-01-05",7.99,1641386831000
"2022-01-05 13:02:11","2022-01-05",8.01,1641387731000
"2022-01-05 13:17:17","2022-01-05",8.0,1641388637000
"2022-01-05 13:32:13","2022-01-05",7.99,1641389533000
"2022-01-05 13:47:11","2022-01-05",8.02,1641390431000
"2022-01-05 14:02:11","2022-01-05",8.02,1641391331000
"2022-01-05 14:17:11","2022-01-05",7.99,1641392231000
"2022-01-05 14:32:11","2022-01-05",8.03,1641393131000
"2022-01-05 14:47:11","2022-01-05",7.97,1641394031000
"2022-01-05 15:02:11","2022-01-05",7.89,1641394931000
"2022-01-05 15:17:11","2022-01-05",7.93,1641395831000
"2022-01-05 15:32:11","2022-01-05",7.99,1641396731000
"2022-01-05 15:47:11","2022-01-05",7.99,1641397631000
"2022-01-05 16:02:11","2022-01-05",7.99,1641398531000
"2022-01-05 16:17:12","2022-01-05",8.0,1641399432000
"2022-01-05 16:32:11","2022-01-05",8.0,1641400331000
"2022-01-05 16:47:12","2022-01-05",8.0,1641401232000
"2022-01-05 17:02:11","2022-01-05",8.01,1641402131000
"2022-01-05 17:17:11","2022-01-05",8.02,1641403031000
"2022-01-05 17:32:11","2022-01-05",7.99,1641403931000
"2022-01-05 17:47:11","2022-01-05",8.02,1641404831000
"2022-01-05 18:02:11","2022-01-05",8.02,1641405731000
"2022-01-05 18:17:11","2022-01-05",7.75,1641406631000
"2022-01-05 18:32:11","2022-01-05",7.95,1641407531000
"2022-01-05 18:47:11","2022-01-05",8.01,1641408431000
"2022-01-05 19:02:11","2022-01-05",8.02,1641409331000
"2022-01-05 19:17:11","2022-01-05",8.02,1641410231000
"2022-01-05 19:32:11","2022-01-05",8.02,1641411131000
"2022-01-05 19:47:11","2022-01-05",8.03,1641412031000
"2022-01-05 20:02:11","2022-01-05",8.03,1641412931000
"2022-01-05 20:17:12","2022-01-05",8.04,1641413832000
"2022-01-05 20:32:11","2022-01-05",7.94,1641414731000
"2022-01-05 20:47:11","2022-01-05",7.94,1641415631000
"2022-01-05 21:02:11","2022-01-05",7.97,1641416531000
"2022-01-05 21:17:11","2022-01-05",7.97,1641417431000
"2022-01-05 21:32:11","2022-01-05",7.97,1641418331000
"2022-01-05 21:47:11","2022-01-05",7.97,1641419231000
"2022-01-05 22:02:11","2022-01-05",7.97,1641420131000
"2022-01-05 22:17:11","2022-01-05",7.94,1641421031000
"2022-01-05 22:32:11","2022-01-05",7.95,1641421931000
"2022-01-05 22:47:12","2022-01-05",7.95,1641422832000
"2022-01-05 23:02:11","2022-01-05",7.94,1641423731000
"2022-01-05 23:17:11","2022-01-05",7.94,1641424631000
"2022-01-05 23:32:11","2022-01-05",7.94,1641425531000
"2022-01-05 23:47:11","2022-01-05",7.93,1641426431000
"2022-01-06 00:02:12","2022-01-06",7.95,1641427332000
"2022-01-06 00:17:11","2022-01-06",7.94,1641428231000
"2022-01-06 00:32:11","2022-01-06",7.95,1641429131000
"2022-01-06 00:47:11","2022-01-06",7.95,1641430031000
"2022-01-06 01:02:11","2022-01-06",7.95,1641430931000
"2022-01-06 01:17:11","2022-01-06",7.96,1641431831000
"2022-01-06 01:32:11","2022-01-06",7.96,1641432731000
